Correct-pre,Incorrect-pre,Unsure-pre,Correct-post,Incorrect-post,Unsure-post,Differences
20%,20%,60%,40%,60%,0%,20%
20%,80%,0%,20%,80%,0%,0%
40%,20%,40%,80%,20%,0%,40%
20%,80%,0%,80%,20%,0%,60%
20%,80%,0%,40%,60%,0%,20%
20%,80%,0%,60%,40%,0%,40%
0%,60%,40%,60%,40%,0%,60%
60%,40%,0%,80%,20%,0%,20%
40%,60%,0%,60%,40%,0%,20%
40%,60%,0%,60%,40%,0%,20%
60%,40%,0%,60%,20%,20%,0%
20%,20%,60%,60%,40%,0%,40%
0%,60%,40%,40%,60%,0%,40%
20%,80%,0%,40%,60%,0%,20%
40%,20%,40%,20%,80%,0%,-20%
0%,40%,60%,20%,60%,20%,20%
20%,40%,40%,80%,20%,0%,60%
0%,60%,40%,60%,40%,0%,60%
0%,20%,80%,40%,60%,0%,40%
23%,51%,26%,53%,45%,2%,29%
