Correct-pre,Incorrect-pre,Unsure-pre,Correct-post,Incorrect-post,Unsure-post,Differences
40%,40%,20%,80%,20%,0%,40%
60%,0%,40%,100%,0%,0%,40%
80%,20%,0%,100%,0%,0%,20%
80%,20%,0%,100%,0%,0%,20%
0%,20%,80%,0%,20%,80%,0%
0%,0%,100%,40%,0%,60%,40%
40%,20%,40%,100%,0%,0%,60%
80%,20%,0%,80%,20%,0%,0%
20%,40%,40%,40%,60%,0%,20%
0%,0%,100%,100%,0%,0%,100%
80%,0%,20%,100%,0%,0%,20%
0%,0%,100%,60%,20%,20%,60%
80%,20%,0%,100%,0%,0%,20%
80%,20%,0%,100%,0%,0%,20%
60%,0%,40%,80%,20%,0%,20%
0%,0%,100%,100%,0%,0%,100%
0%,20%,80%,100%,0%,0%,100%
0%,20%,80%,100%,0%,0%,100%
0%,40%,60%,100%,0%,0%,100%
